oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-04-12 19:32:33+00:00,2022-04-12 20:09:59+00:00,official,37.43333333333333
Kyiv City,,,oblast,2022-04-13 12:23:20+00:00,2022-04-13 12:35:39+00:00,official,12.316666666666666
Kyiv City,,,oblast,2022-04-14 07:38:19+00:00,2022-04-14 09:41:52+00:00,official,123.55
Kyiv City,,,oblast,2022-04-14 10:50:51+00:00,2022-04-14 11:39:48+00:00,official,48.95
Kyiv City,,,oblast,2022-04-14 14:55:01+00:00,2022-04-14 15:18:12+00:00,official,23.183333333333334
Kyiv City,,,oblast,2022-04-14 19:03:35+00:00,2022-04-14 20:08:03+00:00,official,64.46666666666667
Kyiv City,,,oblast,2022-04-14 21:12:55+00:00,2022-04-14 23:16:55+00:00,official,124.0
Kyiv City,,,oblast,2022-04-15 02:44:31+00:00,2022-04-15 03:03:24+00:00,official,18.883333333333333
Kyiv City,,,oblast,2022-04-15 08:42:11+00:00,2022-04-15 09:53:48+00:00,official,71.61666666666666
Kyiv City,,,oblast,2022-04-15 19:28:58+00:00,2022-04-15 20:28:29+00:00,official,59.516666666666666
Kyiv City,,,oblast,2022-04-16 02:21:25+00:00,2022-04-16 04:16:29+00:00,official,115.06666666666666
Kyiv City,,,oblast,2022-04-16 06:53:50+00:00,2022-04-16 07:53:07+00:00,official,59.28333333333333
Kyiv City,,,oblast,2022-04-16 12:05:38+00:00,2022-04-16 12:36:28+00:00,official,30.833333333333332
Kyiv City,,,oblast,2022-04-16 17:38:14+00:00,2022-04-16 17:45:03+00:00,official,6.816666666666666
Kyiv City,,,oblast,2022-04-16 18:32:47+00:00,2022-04-16 19:10:57+00:00,official,38.166666666666664
Kyiv City,,,oblast,2022-04-17 02:24:41+00:00,2022-04-17 03:52:04+00:00,official,87.38333333333334
Kyiv City,,,oblast,2022-04-18 03:33:53+00:00,2022-04-18 06:08:36+00:00,official,154.71666666666667
Kyiv City,,,oblast,2022-04-18 06:57:58+00:00,2022-04-18 07:44:04+00:00,official,46.1
Kyiv City,,,oblast,2022-04-18 09:42:37+00:00,2022-04-18 10:38:15+00:00,official,55.63333333333333
Kyiv City,,,oblast,2022-04-18 18:16:22+00:00,2022-04-18 20:13:16+00:00,official,116.9
Kyiv City,,,oblast,2022-04-18 22:32:11+00:00,2022-04-18 23:11:28+00:00,official,39.28333333333333
Kyiv City,,,oblast,2022-04-20 17:14:49+00:00,2022-04-20 17:51:22+00:00,official,36.55
Kyiv City,,,oblast,2022-04-20 19:34:28+00:00,2022-04-20 20:09:55+00:00,official,35.45
Kyiv City,,,oblast,2022-04-21 14:09:38+00:00,2022-04-21 14:52:38+00:00,official,43.0
Kyiv City,,,oblast,2022-04-21 16:57:46+00:00,2022-04-21 18:01:10+00:00,official,63.4
Kyiv City,,,oblast,2022-04-22 10:01:05+00:00,2022-04-22 10:31:23+00:00,official,30.3
Kyiv City,,,oblast,2022-04-22 19:03:56+00:00,2022-04-22 20:08:03+00:00,official,64.11666666666666
Kyiv City,,,oblast,2022-04-23 10:15:25+00:00,2022-04-23 10:31:18+00:00,official,15.883333333333333
Kyiv City,,,oblast,2022-04-23 10:51:51+00:00,2022-04-23 12:19:47+00:00,official,87.93333333333334
Kyiv City,,,oblast,2022-04-23 19:26:47+00:00,2022-04-23 20:37:31+00:00,official,70.73333333333333
Kyiv City,,,oblast,2022-04-23 21:05:23+00:00,2022-04-23 21:43:01+00:00,official,37.63333333333333
Kyiv City,,,oblast,2022-04-24 15:51:28+00:00,2022-04-24 17:50:03+00:00,official,118.58333333333333
Kyiv City,,,oblast,2022-04-24 17:55:01+00:00,2022-04-24 18:26:40+00:00,official,31.65
Kyiv City,,,oblast,2022-04-25 03:55:34+00:00,2022-04-25 06:36:40+00:00,official,161.1
Kyiv City,,,oblast,2022-04-25 08:26:26+00:00,2022-04-25 08:49:02+00:00,official,22.6
Kyiv City,,,oblast,2022-04-25 08:49:16+00:00,2022-04-25 09:05:52+00:00,official,16.6
Kyiv City,,,oblast,2022-04-25 17:50:51+00:00,2022-04-25 19:10:40+00:00,official,79.81666666666666
Kyiv City,,,oblast,2022-04-27 06:17:11+00:00,2022-04-27 06:41:01+00:00,official,23.833333333333332
Kyiv City,,,oblast,2022-04-27 15:14:07+00:00,2022-04-27 15:41:10+00:00,official,27.05
Kyiv City,,,oblast,2022-04-27 21:54:47+00:00,2022-04-27 22:32:03+00:00,official,37.266666666666666
Kyiv City,,,oblast,2022-04-28 04:37:41+00:00,2022-04-28 05:05:38+00:00,official,27.95
Kyiv City,,,oblast,2022-04-28 15:22:45+00:00,2022-04-28 18:18:02+00:00,official,175.28333333333333
Kyiv City,,,oblast,2022-04-29 04:51:10+00:00,2022-04-29 05:16:52+00:00,official,25.7
Kyiv City,,,oblast,2022-04-29 19:41:31+00:00,2022-04-29 20:36:36+00:00,official,55.083333333333336
Kyiv City,,,oblast,2022-05-03 15:16:21+00:00,2022-05-03 15:28:26+00:00,official,12.083333333333334
Kyiv City,,,oblast,2022-05-03 15:58:45+00:00,2022-05-03 18:32:13+00:00,official,153.46666666666667
Kyiv City,,,oblast,2022-05-03 20:24:33+00:00,2022-05-03 20:41:58+00:00,official,17.416666666666668
Kyiv City,,,oblast,2022-05-04 16:45:06+00:00,2022-05-04 20:16:13+00:00,official,211.11666666666667
Kyiv City,,,oblast,2022-05-05 00:26:36+00:00,2022-05-05 01:25:07+00:00,official,58.516666666666666
Kyiv City,,,oblast,2022-05-05 07:13:07+00:00,2022-05-05 08:16:39+00:00,official,63.53333333333333
Kyiv City,,,oblast,2022-05-05 17:13:35+00:00,2022-05-05 19:15:45+00:00,official,122.16666666666667
Kyiv City,,,oblast,2022-05-06 09:49:27+00:00,2022-05-06 10:11:31+00:00,official,22.066666666666666
Kyiv City,,,oblast,2022-05-06 11:35:03+00:00,2022-05-06 12:18:24+00:00,official,43.35
Kyiv City,,,oblast,2022-05-06 14:47:50+00:00,2022-05-06 14:55:25+00:00,official,7.583333333333333
Kyiv City,,,oblast,2022-05-06 22:14:38+00:00,2022-05-06 22:26:25+00:00,official,11.783333333333333
Kyiv City,,,oblast,2022-05-07 01:18:30+00:00,2022-05-07 01:29:03+00:00,official,10.55
Kyiv City,,,oblast,2022-05-07 01:33:16+00:00,2022-05-07 01:51:10+00:00,official,17.9
Kyiv City,,,oblast,2022-05-07 10:39:53+00:00,2022-05-07 12:44:54+00:00,official,125.01666666666667
Kyiv City,,,oblast,2022-05-07 22:51:26+00:00,2022-05-07 23:34:51+00:00,official,43.416666666666664
